"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NAT MODE CLIENT CONNECTIVITY","","20","12","8","0","0"
"","BRIDGE MODE EAP PASSPOINT SETUP","","4","3","1","0","0"
"","VLAN MODE EAP PASSPOINT SETUP","","4","0","0","0","0"
"","NAT MODE EAP PASSPOINT SETUP","","4","0","0","0","0"
