"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","BRIDGE MODE CLIENT CONNECTIVITY","","8","19","27","6","0"
"","NAT MODE CLIENT CONNECTIVITY","","6","25","25","4","0"
