"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NAT MODE CLIENT CONNECTIVITY","","0","30","22","0","0"
"","BRIDGE MODE EAP PASSPOINT SETUP","","2","6","0","0","0"
"","NAT MODE EAP PASSPOINT SETUP","","3","1","0","0","0"
"","VLAN MODE EAP PASSPOINT SETUP","","2","2","0","0","0"
