"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","NAT MODE CLIENT CONNECTIVITY","","0","31","23","0","0"
"","BRIDGE MODE CLIENT CONNECTIVITY","","0","18","6","0","0"
"","BRIDGE MODE EAP PASSPOINT SETUP","","4","4","0","0","0"
"","NAT MODE EAP PASSPOINT SETUP","","0","4","0","0","0"
"","VLAN MODE EAP PASSPOINT SETUP","","0","4","0","0","0"
